*PLANT STORAGE OUTPUT FILE
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 241   120   118  1.15  0.00 .0227  0.14  0.10  0.00    52  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.04  0.03  0.07  0.01  0.03  0.03  0.00  0.01  1.19  0.00  0.09  0.00  0.00  1.00  0.00 0.159  0.00  0.00  0.00  0.32  0.00   438 1.000 0.000   7.0  0.19  0.46  2.51  3.01  0.00    0.  0.00  0.52     6  0.05     43  0.00
 1985 251   130   128  1.15  0.00 .0200  0.14  0.10  0.00    82  0.00  0.00 0.015 0.010 0.139 0.000  0.01  0.05  0.03  0.07  0.02  0.04  0.03  0.00  0.01  1.17  0.00  0.09  0.00  0.00  1.00  0.00 0.165  0.00  0.00  0.00  0.36  0.00   678 1.000 0.000  11.2  0.29  0.50  2.76  3.29  0.00    0.  0.00  0.80     9  0.10     80  0.00
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 123     2     0  1.15  0.00 .0000  0.14  0.00  0.00     0  0.00  0.00 0.000 0.000 0.010 0.000  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00 0.000  0.00  0.00  0.00  0.00  0.00     0 0.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 131    10     8  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.39  0.00  0.09  0.00  0.00  1.00  0.00 0.186  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 141    20    18  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.178  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 151    30    28  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.068 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.169  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 161    40    38  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.104 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.164  0.00  0.00  0.00  0.00  0.00     1 1.000 0.000   0.0  0.00  0.00  0.01  0.01  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 171    50    48  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.162  0.00  0.00  0.00  0.00  0.00     3 1.000 0.000   0.0  0.00  0.00  0.03  0.03  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 181    60    58  1.15  0.00 .0800  0.14  0.00  0.00     1  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.26  0.00  0.09  0.00  0.00  1.00  0.00 0.156  0.00  0.00  0.00  0.00  0.00     6 1.000 0.000   0.1  0.00  0.01  0.05  0.06  0.00    0.  0.00  0.01     0  0.00      0  0.00
 1985 191    70    68  1.15  0.00 .0800  0.14  0.01  0.00     2  0.00  0.00 0.015 0.010 0.128 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.25  0.00  0.09  0.00  0.00  1.00  0.00 0.147  0.00  0.00  0.00  0.01  0.00    14 1.000 0.000   0.2  0.01  0.02  0.11  0.13  0.00    0.  0.00  0.02     0  0.00      1  0.00
 1985 201    80    78  1.15  0.00 .0800  0.14  0.02  0.00     3  0.00  0.00 0.015 0.010 0.124 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.141  0.00  0.00  0.00  0.02  0.00    28 1.000 0.000   0.4  0.01  0.02  0.17  0.22  0.00    0.  0.00  0.03     0  0.00      2  0.00
 1985 211    90    88  1.15  0.00 .0800  0.14  0.03  0.00     6  0.00  0.00 0.015 0.010 0.121 0.000  0.00  0.01  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.23  0.00  0.09  0.00  0.00  1.00  0.00 0.138  0.00  0.00  0.00  0.03  0.00    53 1.000 0.000   0.7  0.02  0.04  0.31  0.38  0.00    0.  0.00  0.06     1  0.01      5  0.00
 1985 221   100    98  1.15  0.00 .0790  0.14  0.05  0.00    13  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.01  0.01  0.07  0.00  0.01  0.01  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.143  0.00  0.00  0.00  0.06  0.00   111 1.000 0.000   1.6  0.05  0.14  0.85  0.98  0.00    0.  0.00  0.14     2  0.01     10  0.00
 1985 231   110   108  1.15  0.00 .0618  0.14  0.10  0.00    28  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.03  0.02  0.07  0.01  0.02  0.02  0.00  0.01  1.22  0.00  0.09  0.00  0.00  1.00  0.00 0.148  0.00  0.00  0.00  0.14  0.00   231 1.000 0.000   3.4  0.11  0.23  1.48  1.76  0.00    0.  0.00  0.28     3  0.03     21  0.00
 1985 241   120   118  1.15  0.00 .0227  0.14  0.10  0.00    52  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.04  0.03  0.07  0.01  0.03  0.03  0.00  0.01  1.19  0.00  0.09  0.00  0.00  1.00  0.00 0.159  0.00  0.00  0.00  0.32  0.00   438 1.000 0.000   7.0  0.19  0.46  2.51  3.01  0.00    0.  0.00  0.52     6  0.05     43  0.00
 1985 251   130   128  1.15  0.00 .0200  0.14  0.10  0.00    82  0.00  0.00 0.015 0.010 0.139 0.000  0.01  0.05  0.03  0.07  0.02  0.04  0.03  0.00  0.01  1.17  0.00  0.09  0.00  0.00  1.00  0.00 0.165  0.00  0.00  0.00  0.36  0.00   678 1.000 0.000  11.2  0.29  0.50  2.76  3.29  0.00    0.  0.00  0.80     9  0.10     80  0.00
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 123     2     0  1.15  0.00 .0000  0.14  0.00  0.00     0  0.00  0.00 0.000 0.000 0.010 0.000  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00 0.000  0.00  0.00  0.00  0.00  0.00     0 0.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 131    10     8  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.39  0.00  0.09  0.00  0.00  1.00  0.00 0.186  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 141    20    18  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.178  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 151    30    28  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.068 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.169  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 161    40    38  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.104 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.164  0.00  0.00  0.00  0.00  0.00     1 1.000 0.000   0.0  0.00  0.00  0.01  0.01  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 171    50    48  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.162  0.00  0.00  0.00  0.00  0.00     3 1.000 0.000   0.0  0.00  0.00  0.03  0.03  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 181    60    58  1.15  0.00 .0800  0.14  0.00  0.00     1  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.26  0.00  0.09  0.00  0.00  1.00  0.00 0.156  0.00  0.00  0.00  0.00  0.00     6 1.000 0.000   0.1  0.00  0.01  0.05  0.06  0.00    0.  0.00  0.01     0  0.00      0  0.00
 1985 191    70    68  1.15  0.00 .0800  0.14  0.01  0.00     2  0.00  0.00 0.015 0.010 0.128 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.25  0.00  0.09  0.00  0.00  1.00  0.00 0.147  0.00  0.00  0.00  0.01  0.00    14 1.000 0.000   0.2  0.01  0.02  0.11  0.13  0.00    0.  0.00  0.02     0  0.00      1  0.00
 1985 201    80    78  1.15  0.00 .0800  0.14  0.02  0.00     3  0.00  0.00 0.015 0.010 0.124 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.141  0.00  0.00  0.00  0.02  0.00    28 1.000 0.000   0.4  0.01  0.02  0.17  0.22  0.00    0.  0.00  0.03     0  0.00      2  0.00
 1985 211    90    88  1.15  0.00 .0800  0.14  0.03  0.00     6  0.00  0.00 0.015 0.010 0.121 0.000  0.00  0.01  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.23  0.00  0.09  0.00  0.00  1.00  0.00 0.138  0.00  0.00  0.00  0.03  0.00    53 1.000 0.000   0.7  0.02  0.04  0.31  0.38  0.00    0.  0.00  0.06     1  0.01      5  0.00
 1985 221   100    98  1.15  0.00 .0790  0.14  0.05  0.00    13  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.01  0.01  0.07  0.00  0.01  0.01  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.143  0.00  0.00  0.00  0.06  0.00   111 1.000 0.000   1.6  0.05  0.14  0.85  0.98  0.00    0.  0.00  0.14     2  0.01     10  0.00
 1985 231   110   108  1.15  0.00 .0618  0.14  0.10  0.00    28  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.03  0.02  0.07  0.01  0.02  0.02  0.00  0.01  1.22  0.00  0.09  0.00  0.00  1.00  0.00 0.148  0.00  0.00  0.00  0.14  0.00   231 1.000 0.000   3.4  0.11  0.23  1.48  1.76  0.00    0.  0.00  0.28     3  0.03     21  0.00
 1985 241   120   118  1.15  0.00 .0227  0.14  0.10  0.00    52  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.04  0.03  0.07  0.01  0.03  0.03  0.00  0.01  1.19  0.00  0.09  0.00  0.00  1.00  0.00 0.159  0.00  0.00  0.00  0.32  0.00   438 1.000 0.000   7.0  0.19  0.46  2.51  3.01  0.00    0.  0.00  0.52     6  0.05     43  0.00
 1985 251   130   128  1.15  0.00 .0200  0.14  0.10  0.00    82  0.00  0.00 0.015 0.010 0.139 0.000  0.01  0.05  0.03  0.07  0.02  0.04  0.03  0.00  0.01  1.17  0.00  0.09  0.00  0.00  1.00  0.00 0.165  0.00  0.00  0.00  0.36  0.00   678 1.000 0.000  11.2  0.29  0.50  2.76  3.29  0.00    0.  0.00  0.80     9  0.10     80  0.00
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 123     2     0  1.15  0.00 .0000  0.14  0.00  0.00     0  0.00  0.00 0.000 0.000 0.010 0.000  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00 0.000  0.00  0.00  0.00  0.00  0.00     0 0.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 131    10     8  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.39  0.00  0.09  0.00  0.00  1.00  0.00 0.186  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 141    20    18  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.178  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 151    30    28  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.068 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.169  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 161    40    38  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.104 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.164  0.00  0.00  0.00  0.00  0.00     1 1.000 0.000   0.0  0.00  0.00  0.01  0.01  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 171    50    48  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.162  0.00  0.00  0.00  0.00  0.00     3 1.000 0.000   0.0  0.00  0.00  0.03  0.03  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 181    60    58  1.15  0.00 .0800  0.14  0.00  0.00     1  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.26  0.00  0.09  0.00  0.00  1.00  0.00 0.156  0.00  0.00  0.00  0.00  0.00     6 1.000 0.000   0.1  0.00  0.01  0.05  0.06  0.00    0.  0.00  0.01     0  0.00      0  0.00
 1985 191    70    68  1.15  0.00 .0800  0.14  0.01  0.00     2  0.00  0.00 0.015 0.010 0.128 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.25  0.00  0.09  0.00  0.00  1.00  0.00 0.147  0.00  0.00  0.00  0.01  0.00    14 1.000 0.000   0.2  0.01  0.02  0.11  0.13  0.00    0.  0.00  0.02     0  0.00      1  0.00
 1985 201    80    78  1.15  0.00 .0800  0.14  0.02  0.00     3  0.00  0.00 0.015 0.010 0.124 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.141  0.00  0.00  0.00  0.02  0.00    28 1.000 0.000   0.4  0.01  0.02  0.17  0.22  0.00    0.  0.00  0.03     0  0.00      2  0.00
 1985 211    90    88  1.15  0.00 .0800  0.14  0.03  0.00     6  0.00  0.00 0.015 0.010 0.121 0.000  0.00  0.01  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.23  0.00  0.09  0.00  0.00  1.00  0.00 0.138  0.00  0.00  0.00  0.03  0.00    53 1.000 0.000   0.7  0.02  0.04  0.31  0.38  0.00    0.  0.00  0.06     1  0.01      5  0.00
 1985 221   100    98  1.15  0.00 .0790  0.14  0.05  0.00    13  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.01  0.01  0.07  0.00  0.01  0.01  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.143  0.00  0.00  0.00  0.06  0.00   111 1.000 0.000   1.6  0.05  0.14  0.85  0.98  0.00    0.  0.00  0.14     2  0.01     10  0.00
 1985 231   110   108  1.15  0.00 .0618  0.14  0.10  0.00    28  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.03  0.02  0.07  0.01  0.02  0.02  0.00  0.01  1.22  0.00  0.09  0.00  0.00  1.00  0.00 0.148  0.00  0.00  0.00  0.14  0.00   231 1.000 0.000   3.4  0.11  0.23  1.48  1.76  0.00    0.  0.00  0.28     3  0.03     21  0.00
 1985 241   120   118  1.15  0.00 .0227  0.14  0.10  0.00    52  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.04  0.03  0.07  0.01  0.03  0.03  0.00  0.01  1.19  0.00  0.09  0.00  0.00  1.00  0.00 0.159  0.00  0.00  0.00  0.32  0.00   438 1.000 0.000   7.0  0.19  0.46  2.51  3.01  0.00    0.  0.00  0.52     6  0.05     43  0.00
 1985 251   130   128  1.15  0.00 .0200  0.14  0.10  0.00    82  0.00  0.00 0.015 0.010 0.139 0.000  0.01  0.05  0.03  0.07  0.02  0.04  0.03  0.00  0.01  1.17  0.00  0.09  0.00  0.00  1.00  0.00 0.165  0.00  0.00  0.00  0.36  0.00   678 1.000 0.000  11.2  0.29  0.50  2.76  3.29  0.00    0.  0.00  0.80     9  0.10     80  0.00
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 123     2     0  1.15  0.00 .0000  0.14  0.00  0.00     0  0.00  0.00 0.000 0.000 0.010 0.000  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00 0.000  0.00  0.00  0.00  0.00  0.00     0 0.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 131    10     8  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.39  0.00  0.09  0.00  0.00  1.00  0.00 0.186  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 141    20    18  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.178  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 151    30    28  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.068 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.169  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 161    40    38  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.104 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.29  0.00  0.09  0.00  0.00  1.00  0.00 0.164  0.00  0.00  0.00  0.00  0.00     1 1.000 0.000   0.0  0.00  0.00  0.01  0.01  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 171    50    48  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.28  0.00  0.09  0.00  0.00  1.00  0.00 0.162  0.00  0.00  0.00  0.00  0.00     3 1.000 0.000   0.0  0.00  0.00  0.03  0.03  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 181    60    58  1.15  0.00 .0800  0.14  0.00  0.00     1  0.00  0.00 0.015 0.010 0.130 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.26  0.00  0.09  0.00  0.00  1.00  0.00 0.156  0.00  0.00  0.00  0.00  0.00     6 1.000 0.000   0.1  0.00  0.01  0.05  0.06  0.00    0.  0.00  0.01     0  0.00      0  0.00
 1985 191    70    68  1.15  0.00 .0800  0.14  0.01  0.00     2  0.00  0.00 0.015 0.010 0.128 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.25  0.00  0.09  0.00  0.00  1.00  0.00 0.147  0.00  0.00  0.00  0.01  0.00    14 1.000 0.000   0.2  0.01  0.02  0.11  0.13  0.00    0.  0.00  0.02     0  0.00      1  0.00
 1985 201    80    78  1.15  0.00 .0800  0.14  0.02  0.00     3  0.00  0.00 0.015 0.010 0.124 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.141  0.00  0.00  0.00  0.02  0.00    28 1.000 0.000   0.4  0.01  0.02  0.17  0.22  0.00    0.  0.00  0.03     0  0.00      2  0.00
 1985 211    90    88  1.15  0.00 .0800  0.14  0.03  0.00     6  0.00  0.00 0.015 0.010 0.121 0.000  0.00  0.01  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.23  0.00  0.09  0.00  0.00  1.00  0.00 0.138  0.00  0.00  0.00  0.03  0.00    53 1.000 0.000   0.7  0.02  0.04  0.31  0.38  0.00    0.  0.00  0.06     1  0.01      5  0.00
 1985 221   100    98  1.15  0.00 .0790  0.14  0.05  0.00    13  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.01  0.01  0.07  0.00  0.01  0.01  0.00  0.01  1.24  0.00  0.09  0.00  0.00  1.00  0.00 0.143  0.00  0.00  0.00  0.06  0.00   111 1.000 0.000   1.6  0.05  0.14  0.85  0.98  0.00    0.  0.00  0.14     2  0.01     10  0.00
 1985 231   110   108  1.15  0.00 .0618  0.14  0.10  0.00    28  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.03  0.02  0.07  0.01  0.02  0.02  0.00  0.01  1.22  0.00  0.09  0.00  0.00  1.00  0.00 0.148  0.00  0.00  0.00  0.14  0.00   231 1.000 0.000   3.4  0.11  0.23  1.48  1.76  0.00    0.  0.00  0.28     3  0.03     21  0.00
 1985 241   120   118  1.15  0.00 .0227  0.14  0.10  0.00    52  0.00  0.00 0.015 0.010 0.139 0.000  0.00  0.04  0.03  0.07  0.01  0.03  0.03  0.00  0.01  1.19  0.00  0.09  0.00  0.00  1.00  0.00 0.159  0.00  0.00  0.00  0.32  0.00   438 1.000 0.000   7.0  0.19  0.46  2.51  3.01  0.00    0.  0.00  0.52     6  0.05     43  0.00
 1985 251   130   128  1.15  0.00 .0200  0.14  0.10  0.00    82  0.00  0.00 0.015 0.010 0.139 0.000  0.01  0.05  0.03  0.07  0.02  0.04  0.03  0.00  0.01  1.17  0.00  0.09  0.00  0.00  1.00  0.00 0.165  0.00  0.00  0.00  0.36  0.00   678 1.000 0.000  11.2  0.29  0.50  2.76  3.29  0.00    0.  0.00  0.80     9  0.10     80  0.00
@YEAR DOY   DAS   DAP  QCQD  QHAD  QC%M  QRAD  QMAD  QCFD  QCAD  QCDD  QDTD  QN%X  QN%I  QV%D  QV%T  QNAA  QNRX  QNRN  QNAR  QNAM  QNAG  QNAN  QNAL  QN%N  QN%D  QW%C  QP%W  QL%S  QL%1  QS%D  Q1%D  QC%D  QCAM  QFDS  QFD1  QEAD  QEWD  QWAD  QT%S  QT%1  QCRD  QNMD  QCAG  QWNG  QWND  QFAD  QWAI  QMAM  QNAD  QNAC  QNLC  QDAD  XSTR
 1985 123     2     0  1.15  0.00 .0000  0.14  0.00  0.00     0  0.00  0.00 0.000 0.000 0.010 0.000  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00 0.000  0.00  0.00  0.00  0.00  0.00     0 0.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
 1985 131    10     8  1.15  0.00 .0800  0.14  0.00  0.00     0  0.00  0.00 0.015 0.010 0.046 0.000  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  1.39  0.00  0.09  0.00  0.00  1.00  0.00 0.186  0.00  0.00  0.00  0.00  0.00     0 1.000 0.000   0.0  0.00  0.00  0.00  0.00  0.00    0.  0.00  0.00     0  0.00      0  0.00
